"as_of","target","target_end_date","location","horizon","output_type","output_type_id","oracle_value"
2025-09-24,"wk flu hosp rate change",2023-09-30,"18",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"18",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"18",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"18",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"18",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"19",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"19",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"19",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"19",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"19",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"20",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"20",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"20",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"20",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"20",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"21",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"21",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"21",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"21",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"21",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"22",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"22",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"22",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"22",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"22",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"23",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"23",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"23",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"23",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"23",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"24",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"24",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"24",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"24",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"24",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"25",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"25",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"25",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"25",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"25",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"26",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"26",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"26",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"26",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"26",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"27",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"27",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"27",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"27",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"27",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"28",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"28",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"28",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"28",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"28",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"29",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"29",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"29",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"29",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"29",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"30",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"30",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"30",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"30",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"30",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"31",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"31",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"31",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"31",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"31",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"32",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"32",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"32",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"32",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"32",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"33",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"33",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"33",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"33",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"33",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"34",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"34",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"34",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"34",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"34",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"35",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"35",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"35",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"35",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"35",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"36",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"36",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"36",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"36",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"36",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"37",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"37",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"37",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"37",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"37",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"38",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"38",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"38",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"38",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"38",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"39",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"39",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"39",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"39",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"39",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"40",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"40",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"40",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"40",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"40",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"41",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"41",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"41",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"41",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"41",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"42",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"42",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"42",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"42",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"42",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"44",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"44",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"44",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"44",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"44",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"45",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"45",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"45",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"45",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"45",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"46",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"46",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"46",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"46",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"46",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"47",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"47",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"47",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"47",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"47",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"48",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"48",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"48",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"48",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"48",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"49",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"49",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"49",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"49",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"49",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"50",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"50",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"50",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"50",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"50",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"51",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"51",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"51",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"51",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"51",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"53",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"53",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"53",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"53",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"53",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"54",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"54",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"54",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"54",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"54",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"55",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"55",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"55",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"55",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"55",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"56",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"56",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"56",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"56",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"56",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"72",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"72",0,"pmf","increase",1
2025-09-24,"wk flu hosp rate change",2023-09-30,"72",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"72",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"72",0,"pmf","stable",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"US",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"US",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"US",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"US",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-09-30,"US",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-10-07,"01",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"01",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"01",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"01",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"01",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-10-07,"01",1,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"01",1,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"01",1,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"01",1,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"01",1,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-10-07,"02",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"02",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"02",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"02",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"02",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-10-07,"02",1,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"02",1,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"02",1,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"02",1,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"02",1,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-10-07,"04",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"04",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"04",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"04",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"04",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-10-07,"04",1,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"04",1,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"04",1,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"04",1,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"04",1,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-10-07,"05",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"05",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"05",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"05",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"05",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-10-07,"05",1,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"05",1,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"05",1,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"05",1,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"05",1,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-10-07,"06",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"06",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"06",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"06",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"06",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-10-07,"06",1,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"06",1,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"06",1,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"06",1,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"06",1,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-10-07,"08",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"08",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"08",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"08",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"08",0,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-10-07,"08",1,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"08",1,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"08",1,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"08",1,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"08",1,"pmf","stable",1
2025-09-24,"wk flu hosp rate change",2023-10-07,"09",0,"pmf","decrease",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"09",0,"pmf","increase",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"09",0,"pmf","large_decrease",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"09",0,"pmf","large_increase",0
2025-09-24,"wk flu hosp rate change",2023-10-07,"09",0,"pmf","stable",1
